"date","predicted_cases","lower_80","upper_80","lower_95","upper_95"
2025-05-27,-0.00886258873140215,-893.923095730703,893.90537055324,-1367.1327063191,1367.11498114164
2025-05-28,-0.00944431129142736,-902.798072784348,902.779184161765,-1380.70550448705,1380.68661586446
2025-05-29,-0.00992262810593723,-911.214380897437,911.194535641225,-1393.57688378373,1393.55703852752
2025-05-30,-0.010018878581069,-919.268234952489,919.248197195327,-1405.89413968784,1405.87410193068
2025-05-31,-0.00967464678359289,-927.178610151999,927.159260858432,-1417.99219679549,1417.97284750193
2025-06-01,-0.00919295155431771,-935.227863676313,935.209477773204,-1430.30272274098,1430.28433683787
2025-06-02,-0.00895368682966489,-943.451155857425,943.433248483766,-1442.87928950803,1442.86138213437
2025-06-03,-0.00896019936340472,-951.814777852896,951.796857454169,-1455.67034209925,1455.65242170053
2025-06-04,-0.00931082707670139,-960.058837569825,960.040215915672,-1468.27835780131,1468.25973614716
2025-06-05,-0.00969321642782034,-968.035685523627,968.016299090771,-1480.4776915638,1480.45830513095
2025-06-06,-0.00982552577036356,-975.720253208902,975.700602157361,-1492.23015361413,1492.21050256259
2025-06-07,-0.00965977703197773,-983.26941777233,983.250098218266,-1503.77569224206,1503.756372688
2025-06-08,-0.00932253138910312,-990.84597910631,990.827334043532,-1515.3632213998,1515.34457633702
2025-06-09,-0.0090329055032953,-998.587707895553,998.569642084547,-1527.20332717373,1527.18526136272
2025-06-10,-0.00907011383329979,-1006.39619486437,1006.3780546367,-1539.1453577572,1539.12721752954
2025-06-11,-0.00929542697435942,-1014.15763363121,1014.13904277726,-1551.01533474836,1550.99674389441
2025-06-12,-0.00956392200379548,-1021.73353608073,1021.71440823672,-1562.60153556953,1562.58240772552
2025-06-13,-0.00970228391962065,-1029.10913925916,1029.08973469132,-1573.88147397871,1573.86206941087
2025-06-14,-0.00961840198552597,-1036.35180451054,1036.33256770656,-1584.95821902197,1584.938982218
2025-06-15,-0.00940056502850263,-1043.5883638432,1043.56956271314,-1596.02569677989,1596.00689564984
2025-06-16,-0.00922476753323313,-1050.87403648568,1050.85558695062,-1607.16826460904,1607.14981507397
2025-06-17,-0.0091545723398869,-1058.22655507315,1058.20824592847,-1618.41300858644,1618.39469944176
2025-06-18,-0.00927531701391228,-1065.55190401972,1065.53335338569,-1629.61609910638,1629.59754847235
2025-06-19,-0.00947094033102457,-1072.76750294811,1072.74856106745,-1640.65130181963,1640.63235993896
2025-06-20,-0.00959410125119796,-1079.83093461609,1079.81174641359,-1651.45382314987,1651.43463494737
2025-06-21,-0.00957498866381535,-1086.78464882976,1086.76549885243,-1662.08862142894,1662.06947145161
2025-06-22,-0.00943481702827232,-1093.70041988689,1093.68155025284,-1672.66545474249,1672.64658510843
2025-06-23,-0.00927075176100949,-1100.65402551831,1100.63548401479,-1683.30016369265,1683.28162218912
2025-06-24,-0.00922863436703917,-1107.63501710319,1107.61655983446,-1693.97669128901,1693.95823402027
2025-06-25,-0.00929490145766589,-1114.60539664374,1114.58680684082,-1704.63693178883,1704.61834198592
2025-06-26,-0.00942373641252491,-1121.4992663184,1121.48041884557,-1715.18012742488,1715.16127995205
2025-06-27,-0.00952645125846843,-1128.28791699022,1128.26886408771,-1725.56241830969,1725.54336540718
